CUSTOMER_ID;COLLEGE;DATA;DATA_Categorie;INCOME;INCOME_Categorie;OVERCHARGE;OVERCHARGE_Categorie;LEFTOVER;HOUSE;LESSTHAN600k;CHILD;JOB_CLASS;REVENUE;HANDSET_PRICE;OVER_15MINS_CALLS_PER_MONTH;TIME_CLIENT;AVERAGE_CALL_DURATION;REPORTED_SATISFACTION;REPORTED_USAGE_LEVEL;CONSIDERING_CHANGE_OF_PLAN;CHURNED
C100000;zero;660.0000000000001;Less than 1 Gbs/month;19995;Less than 25000 $/year;0;Less than 100 $/year;0;897338;False;4;3;160;155;1;1.2;15;very_unsat;little;considering;STAY
C100001;one;317.6470588235295;Less than 1 Gbs/month;31477;Between 25000 and 50000 $/year;155;Between 100 and 200 $/year;15;393396;True;0;1;100;245;27;2.7;4;unsat;little;considering;LEAVE
C100006;zero;208.69565217391306;Less than 1 Gbs/month;66742;Between 50000 and 75000 $/year;0;Less than 100 $/year;13;937197;False;4;2;127;493;20;2.6;4;avg;very_little;considering;STAY
C100008;zero;265.0176678445229;Less than 1 Gbs/month;40864;Between 25000 and 50000 $/year;183;Between 100 and 200 $/year;0;986430;False;3;3;86;390;13;2.5;12;unsat;very_high;considering;LEAVE
C100010;one;440.00000000000006;Less than 1 Gbs/month;43321.5;Between 25000 and 50000 $/year;200;More than 200 $/year;0;394622;True;2;3;77;175;18;2.4;10;very_unsat;little;actively_looking_into_it;LEAVE
C100011;one;840;Less than 1 Gbs/month;18786.5;Less than 25000 $/year;0;Less than 100 $/year;15;475819;True;1;2;143;187;0;3.8;4;very_unsat;very_high;actively_looking_into_it;STAY
C100012;zero;264.00000000000006;Less than 1 Gbs/month;46515.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;15;150498;True;3;1;191;363;1;3.2;4;very_unsat;very_high;never_thought;STAY
C100013;one;141.06583072100312;Less than 1 Gbs/month;90444.5;More than 75000 $/year;168;Between 100 and 200 $/year;37;183605;True;5;3;217;539;28;2;2;very_sat;very_high;no;STAY
C100014;zero;483.8709677419355;Less than 1 Gbs/month;94779.5;More than 75000 $/year;179;Between 100 and 200 $/year;0;677946;False;1;2;204;208;23;2.5;11;very_unsat;high;considering;LEAVE
C100015;one;276.3157894736842;Less than 1 Gbs/month;64602.5;Between 50000 and 75000 $/year;204;More than 200 $/year;24;270004;True;0;1;167;313;16;1.8;4;very_unsat;little;considering;STAY
C100016;one;267.3267326732673;Less than 1 Gbs/month;53028.5;Between 50000 and 75000 $/year;42;Less than 100 $/year;6;722147;False;3;3;121;270;5;1.8;6;very_sat;little;no;STAY
C100017;zero;330.7692307692308;Less than 1 Gbs/month;42003.5;Between 25000 and 50000 $/year;0;Less than 100 $/year;29;369274;True;4;2;248;165;1;3.3;2;very_unsat;very_little;actively_looking_into_it;LEAVE
C100018;one;183.67346938775506;Less than 1 Gbs/month;72575.5;Between 50000 and 75000 $/year;47;Less than 100 $/year;0;635803;False;3;1;89;749;5;1.9;14;very_unsat;little;actively_looking_into_it;STAY
C100020;one;600;Less than 1 Gbs/month;13767.5;Less than 25000 $/year;0;Less than 100 $/year;10;374054;True;2;3;133;235;1;4;6;very_unsat;little;considering;LEAVE
